Econômico,Veículos pequenos e econômicos em consumo de combustível
Compacto,Levemente maior que os econômicos com espaço para até 4 pessoas
Intermediário,Carros com mais conforto e espaço para 5 passageiros
Standard,Veículos maiores que os intermediários com mais espaço interno
SUV,Utilitários esportivos com capacidade para terrenos variados
Premium,Veículos de alto padrão com foco em conforto e luxo
Luxo,Carros de luxo para ocasiões especiais
Minivan,Veículos espaçosos com capacidade para até 7 passageiros
Van,Veículos maiores para grupos ou transporte de cargas leves
Picape,Veículos com caçamba para transporte de cargas
Conversível,Carros com teto retrátil para lazer
Híbrido/Elétrico,Veículos com baixo impacto ambiental e eficiência energética
Off-road,Veículos preparados para terrenos acidentados e aventuras
Esportivo,Carros potentes com design arrojado e alto desempenho
Moto,Motocicletas para transporte urbano ou recreativo
Caminhão leve,Veículo para transporte de pequenas cargas
Carro utilitário,Veículo voltado para transporte comercial leve
